taskId,batchId,chapterId,stage,attempt_no,is_primary_request,is_formatter,is_full_primary_retry,formatter_used,request_version,contextBudgetVersion,contextWindow,modelMaxOutputTokens,request_max_tokens,inputTokens,outputTokens,reasoningTokens,visibleOutputTokens,finishReason,emptyReason,is_reasoning_only,is_invalid_json,is_contract_invalid,other_recovery_reason,stage_success,physical_llm_calls_from_first_primary_to_success,app_valid,strict_visible_first_pass,ui_displayed_stage_tokens,ui_displayed_visible_output_tokens,ui_displayed_reasoning_tokens,evidence_level,evidence_refs,notes
pt_msmty01s_114,unknown,unknown,Draft,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,311,555,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,1252,555,311,inferred,test-logs/outline-budget-v5-qa-20260810/single-a-start-2-summary.txt,UI completed stage; no per-request pipeline-audit row
pt_msmty01s_114,unknown,unknown,Review,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,152,107,45,stop,unknown,false,false,false,unknown,true,1,true,true,1225,45,107,direct,test-logs/outline-budget-v5-qa-20260810/single-a-logcat.txt:1668,unknown
pt_msmty01s_114,unknown,unknown,FactCheck,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,54,30,24,stop,unknown,false,false,false,unknown,true,1,true,true,1133,24,30,direct,test-logs/outline-budget-v5-qa-20260810/single-a-logcat.txt:1543,unknown
pt_msmty01s_114,unknown,unknown,Brief,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,549,516,33,stop,unknown,false,false,false,unknown,true,1,true,true,950,33,516,direct,test-logs/outline-budget-v5-qa-20260810/single-a-logcat.txt:2020,unknown
pt_msmty01s_114,unknown,unknown,Final,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,188,656,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,1956,656,188,inferred,test-logs/outline-budget-v5-qa-20260810/single-a-start-2-summary.txt,UI completed stage; no per-request pipeline-audit row
pt_msmu1dnp_115,unknown,unknown,Draft,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2747,665,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,3795,665,2747,inferred,test-logs/outline-budget-v5-qa-20260810/single-b-running-3-summary.txt,UI completed stage; no per-request pipeline-audit row
pt_msmu1dnp_115,unknown,unknown,Review,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,59,23,36,stop,unknown,false,false,false,unknown,true,1,true,true,1246,36,23,direct,test-logs/outline-budget-v5-qa-20260810/single-b-logcat.txt:3723,unknown
pt_msmu1dnp_115,unknown,unknown,FactCheck,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,57,33,24,stop,unknown,false,false,false,unknown,true,1,true,true,1250,24,33,direct,test-logs/outline-budget-v5-qa-20260810/single-b-logcat.txt:3727,unknown
pt_msmu1dnp_115,unknown,unknown,Brief,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,372,339,33,stop,unknown,false,false,false,unknown,true,1,true,true,773,33,339,direct,test-logs/outline-budget-v5-qa-20260810/single-b-logcat.txt:4058,unknown
pt_msmu1dnp_115,unknown,unknown,Final,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2564,665,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,4449,665,2564,inferred,test-logs/outline-budget-v5-qa-20260810/single-b-running-3-summary.txt,UI completed stage; no per-request pipeline-audit row
pt_msmu49st_116,unknown,unknown,Draft,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,139,1051,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,1582,1051,139,inferred,test-logs/outline-budget-v5-qa-20260810/single-c-running-2-summary.txt,UI completed stage; no per-request pipeline-audit row
pt_msmu49st_116,unknown,unknown,Review,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,81,36,45,stop,unknown,false,false,false,unknown,true,1,true,true,1786,45,36,direct,test-logs/outline-budget-v5-qa-20260810/single-c-logcat.txt:1744,unknown
pt_msmu49st_116,unknown,unknown,FactCheck,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,49,25,24,stop,unknown,false,false,false,unknown,true,1,true,true,1760,24,25,direct,test-logs/outline-budget-v5-qa-20260810/single-c-logcat.txt:1731,unknown
pt_msmu49st_116,unknown,unknown,Brief,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1505,1472,33,stop,unknown,false,false,false,unknown,true,1,true,true,1906,33,1472,direct,test-logs/outline-budget-v5-qa-20260810/single-c-logcat.txt:2596,unknown
pt_msmu49st_116,unknown,unknown,Final,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1486,1051,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,4149,1051,1486,inferred,test-logs/outline-budget-v5-qa-20260810/single-c-running-2-summary.txt,UI completed stage; no per-request pipeline-audit row
batch_batch_msmu9wqs_aky337_ord1_1786342691988,batch_batch_msmu9wqs_aky337,13,Draft,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,unknown,unknown,unknown,inferred,"test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:30,1137-1138; test-logs/outline-budget-v5-qa-20260810/batch-complete.xml",Batch completed/adopted; Draft per-attempt metrics not emitted
batch_batch_msmu9wqs_aky337_ord1_1786342691988,batch_batch_msmu9wqs_aky337,13,Review,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,667,575,92,stop,unknown,false,false,false,unknown,true,1,true,true,unknown,unknown,unknown,direct,test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:681,unknown
batch_batch_msmu9wqs_aky337_ord1_1786342691988,batch_batch_msmu9wqs_aky337,13,FactCheck,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,138,97,41,stop,unknown,false,false,false,unknown,true,1,true,true,unknown,unknown,unknown,direct,test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:623,unknown
batch_batch_msmu9wqs_aky337_ord1_1786342691988,batch_batch_msmu9wqs_aky337,13,Brief,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,66,66,0,stop,reasoning_only,true,false,false,reasoning_only,true,1,true,false,unknown,unknown,unknown,direct,test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:691,"pipeline-audit valid=true despite raw textLength=0 and emptyReason=reasoning_only; counted as app-valid first pass, flagged separately"
batch_batch_msmu9wqs_aky337_ord1_1786342691988,batch_batch_msmu9wqs_aky337,13,Final,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,unknown,unknown,unknown,inferred,"test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:30,1137-1138; test-logs/outline-budget-v5-qa-20260810/batch-complete.xml",Batch completed/adopted; Final per-attempt metrics not emitted
batch_batch_msmu9wqs_aky337_ord2_1786342744470,batch_batch_msmu9wqs_aky337,14,Draft,unknown,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,unknown,unknown,true,unknown,true,true,unknown,unknown,unknown,inferred,"test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:30,1137-1138; test-logs/outline-budget-v5-qa-20260810/batch-complete.xml",Batch completed/adopted; Draft per-attempt metrics not emitted
batch_batch_msmu9wqs_aky337_ord2_1786342744470,batch_batch_msmu9wqs_aky337,14,Review,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1082,1037,45,stop,unknown,false,false,false,unknown,true,1,true,true,unknown,unknown,unknown,direct,test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:1931,unknown
batch_batch_msmu9wqs_aky337_ord2_1786342744470,batch_batch_msmu9wqs_aky337,14,FactCheck,1,true,false,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1488,1448,40,stop,unknown,false,false,false,unknown,true,1,true,true,unknown,unknown,unknown,direct,test-logs/outline-budget-v5-qa-20260810/batch-logcat-final.txt:1981,unknown
